,MSE,MAE,R2,RMSE,feature_engineering_applied,lagged,scaled,normalized,simple_short_lag,simple_medium_lag,simple_seasonal_lag,rolling_short,rolling_medium,feature_engineering,scaler,normalizer,model,model_family
814,2.9580274267098425,1.296070839823959,0.6444795154385363,1.7198916904008352,0,1,1,0,1,1,0,1,1,None,QuantileTransformer,None,KNeighborsRegressor,Nearest Neighbors
815,2.1168826281773168,1.0914679166538406,0.7455753347877367,1.4549510741524323,0,1,1,0,1,1,0,1,1,None,QuantileTransformer,None,DecisionTreeRegressor,Single Tree
816,7.151182324539254,2.0314258306122825,0.1409815307741929,2.6741694644392404,1,0,0,1,0,0,0,0,0,KBinsDiscretizer,None,Normalizer,KNeighborsRegressor,Nearest Neighbors
817,6.536752739538992,1.9786843227333597,0.2147883976111364,2.556707402019049,1,0,0,1,0,0,0,0,0,KBinsDiscretizer,None,Normalizer,DecisionTreeRegressor,Single Tree
818,2.895329384514333,1.3171303635927452,0.6522706767471924,1.7015667440668711,1,1,0,1,1,0,0,0,0,KBinsDiscretizer,None,Normalizer,KNeighborsRegressor,Nearest Neighbors
819,2.2924860888292304,1.153957744953511,0.724672211562975,1.5140957990923924,1,1,0,1,1,0,0,0,0,KBinsDiscretizer,None,Normalizer,DecisionTreeRegressor,Single Tree
820,3.403543527726733,1.4286847091256645,0.5908926433546628,1.8448695150949652,1,1,0,1,1,1,1,0,0,KBinsDiscretizer,None,Normalizer,KNeighborsRegressor,Nearest Neighbors
821,2.30132072915188,1.1552821680338663,0.723380285097962,1.5170104578254824,1,1,0,1,1,1,1,0,0,KBinsDiscretizer,None,Normalizer,DecisionTreeRegressor,Single Tree
822,3.282025818038188,1.400015690561874,0.6054991229225855,1.8116362267403985,1,1,0,1,1,1,1,1,1,KBinsDiscretizer,None,Normalizer,KNeighborsRegressor,Nearest Neighbors
823,2.2937489269498816,1.143557759725248,0.7242904188919522,1.5145127688302538,1,1,0,1,1,1,1,1,1,KBinsDiscretizer,None,Normalizer,DecisionTreeRegressor,Single Tree
824,3.47218123126761,1.4331778041187555,0.5829973502321812,1.8633789821900453,1,1,0,1,0,0,0,1,0,KBinsDiscretizer,None,Normalizer,KNeighborsRegressor,Nearest Neighbors
825,2.7621749827316573,1.256881281916889,0.6682678091370902,1.661979236552508,1,1,0,1,0,0,0,1,0,KBinsDiscretizer,None,Normalizer,DecisionTreeRegressor,Single Tree
826,3.096340389522586,1.3600360618327678,0.627855906368416,1.7596421197284935,1,1,0,1,1,1,0,1,1,KBinsDiscretizer,None,Normalizer,KNeighborsRegressor,Nearest Neighbors
827,2.329574217455511,1.1517367688047582,0.720012280098133,1.5262942761654814,1,1,0,1,1,1,0,1,1,KBinsDiscretizer,None,Normalizer,DecisionTreeRegressor,Single Tree
828,7.097412233311739,2.033962403379637,0.1474405328468842,2.664096888874678,0,0,0,1,0,0,0,0,0,None,None,Normalizer,KNeighborsRegressor,Nearest Neighbors
829,6.660127271271918,1.992561380804049,0.1999683305815216,2.5807222383030526,0,0,0,1,0,0,0,0,0,None,None,Normalizer,DecisionTreeRegressor,Single Tree
830,2.5625763501688925,1.2205953405504977,0.6922343465327865,1.6008049069667711,0,1,0,1,1,0,0,0,0,None,None,Normalizer,KNeighborsRegressor,Nearest Neighbors
831,2.176334676401188,1.113611160186968,0.7386220067933493,1.4752405486567906,0,1,0,1,1,0,0,0,0,None,None,Normalizer,DecisionTreeRegressor,Single Tree
832,4.226999844508867,1.575439968416417,0.4919128494054279,2.055966887989412,0,1,0,1,1,1,1,0,0,None,None,Normalizer,KNeighborsRegressor,Nearest Neighbors
833,2.1291894204464907,1.0986976603810932,0.7440705404529151,1.459174225528429,0,1,0,1,1,1,1,0,0,None,None,Normalizer,DecisionTreeRegressor,Single Tree
834,4.062499462112133,1.5443540971768797,0.5116858642240232,2.0155643036410757,0,1,0,1,1,1,1,1,1,None,None,Normalizer,KNeighborsRegressor,Nearest Neighbors
